project	sample	experiment	run	Y chr overlaps	XIST overlaps	total overlaps	Y chr junctions	XIST junctions	total junctions	is male?	(Y chr overlaps / total overlaps)
SRP022361	SRS362528	SRX277268	SRR850111	8	59	1182388	4	10	120883	0	0.00000677
DRP001797	DRS014282	DRX021436	DRR023486	12	64	1796402	8	9	126964	0	0.00000668
ERP004617	ERS393455	ERX379241	ERR412880	55	1	8328309	37	1	235893	1	0.00000660
SRP031858	SRS493223	SRX367100	SRR1015688	2	12	303659	2	5	63761	0	0.00000659
SRP043368	SRS641360	SRX610346	SRR1424754	70	77	10643079	42	14	171632	0	0.00000658
ERP000546	ERS025090	ERX011213	ERR030903	59	465	9000063	21	19	207421	0	0.00000656
SRP041736	SRS603384	SRX534667	SRR1275195	1	0	153051	1	0	18532	0	0.00000653
SRP012656	SRS312070	SRX145880	SRR493946	63	476	9675266	51	19	255507	0	0.00000651
SRP030628	SRS488278	SRX361136	SRR1004301	8	123	1230190	8	16	146099	0	0.00000650
SRP041736	SRS603205	SRX534488	SRR1274214	12	0	1854844	8	0	38541	0	0.00000647
DRP001797	DRS014279	DRX021433	DRR023464	11	70	1700338	8	12	124640	0	0.00000647
SRP031858	SRS493232	SRX367109	SRR1015697	28	6	4332624	13	3	148083	0	0.00000646
SRP040547	SRS582738	SRX501682	SRR1205816	20	0	3103856	18	0	124047	1	0.00000644
SRP018022	SRS362528	SRX218884	SRR651373	12	54	1863161	5	11	140611	0	0.00000644
SRP040547	SRS582207	SRX501116	SRR1204891	23	0	3578732	18	0	152587	1	0.00000643
ERP005641	ERS444310	ERX548834	ERR590845	22	8	3443970	13	6	168633	0	0.00000639
DRP001797	DRS016623	DRX021456	DRR023684	10	119	1573849	7	13	109381	0	0.00000635
SRP041736	SRS603211	SRX534494	SRR1274226	12	0	1891333	6	0	24980	0	0.00000634
DRP001797	DRS014273	DRX021427	DRR023392	11	50	1735817	6	11	127339	0	0.00000634
SRP017262	SRS376478	SRX205710	SRR620150	14	72	2210356	8	8	121582	0	0.00000633
SRP012656	SRS312068	SRX145878	SRR493942	62	419	10008399	44	21	256679	0	0.00000619
ERP005641	ERS444311	ERX548807	ERR590818	20	54	3238179	15	11	161806	0	0.00000618
SRP022361	SRS362528	SRX277266	SRR850109	8	37	1318968	3	11	124030	0	0.00000607
SRP041736	SRS603387	SRX534671	SRR1275203	1	0	165376	1	0	11397	0	0.00000605
DRP001797	DRS014280	DRX021434	DRR023472	10	51	1658622	5	11	124365	0	0.00000603
SRP030628	SRS488290	SRX361148	SRR1004313	10	30	1660973	9	11	143303	0	0.00000602
