min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
442	146960	138646	2049	5067	1198	144862	137295	1656	1202	442	149
441	147354	138923	2078	5139	1214	145248	137571	1663	1203	443	149
440	147747	139204	2109	5210	1224	145628	137849	1674	1206	445	149
439	148140	139482	2144	5283	1231	146010	138125	1683	1208	447	149
438	148480	139731	2176	5333	1240	146341	138372	1690	1210	449	149
437	148834	139980	2206	5392	1256	146681	138618	1699	1213	454	149
436	149216	140258	2233	5457	1268	147056	138896	1705	1213	455	149
435	149589	140519	2266	5524	1280	147417	139154	1712	1215	460	150
434	149992	140809	2294	5594	1295	147806	139441	1723	1218	463	150
433	150409	141094	2322	5683	1310	148205	139722	1737	1221	467	151
432	150817	141390	2348	5756	1323	148599	140015	1748	1224	470	151
431	151161	141638	2372	5816	1335	148937	140262	1754	1225	470	151
430	151543	141894	2410	5893	1346	149314	140516	1759	1227	470	151
429	151927	142143	2440	5977	1367	149677	140760	1775	1232	475	151
428	152326	142418	2471	6050	1387	150060	141030	1790	1237	476	151
427	152757	142711	2504	6131	1411	150478	141318	1801	1242	478	151
426	153161	142973	2530	6213	1445	150854	141574	1822	1248	485	151
425	153552	143236	2569	6289	1458	151235	141834	1829	1251	488	151
424	153930	143486	2602	6371	1471	151604	142083	1835	1252	491	151
423	154288	143716	2637	6448	1487	151949	142311	1844	1254	495	151
422	154661	143961	2673	6525	1502	152308	142551	1858	1259	495	151
421	155059	144229	2704	6605	1521	152694	142817	1868	1261	497	151
420	155445	144493	2748	6674	1530	153074	143079	1871	1262	500	152
419	155840	144781	2770	6739	1550	153456	143363	1881	1266	503	152
418	156245	145066	2798	6816	1565	153850	143646	1889	1267	506	153
417	156645	145336	2824	6905	1580	154239	143914	1896	1268	510	154
416	157096	145635	2861	7004	1596	154678	144208	1907	1273	511	154
415	157504	145896	2901	7095	1612	155066	144466	1921	1276	517	154
414	157942	146172	2953	7186	1631	155491	144742	1929	1276	522	154
413	158345	146442	2990	7263	1650	155881	145008	1936	1279	528	155
412	158719	146685	3038	7332	1664	156246	145249	1945	1281	528	155
411	159137	146957	3073	7422	1685	156644	145513	1963	1289	530	155
410	159586	147248	3123	7501	1714	157077	145802	1975	1291	534	155
409	159975	147505	3157	7582	1731	157455	146054	1983	1296	537	155
408	160452	147817	3204	7689	1742	157921	146361	1993	1301	538	155
407	160859	148081	3242	7771	1765	158316	146624	2000	1302	543	155
406	161276	148340	3282	7878	1776	158720	146876	2011	1308	545	156
405	161710	148621	3321	7970	1798	159133	147151	2029	1314	548	156
404	162141	148893	3359	8072	1817	159548	147417	2039	1319	554	157
403	162570	149164	3393	8175	1838	159961	147683	2052	1323	557	158
402	163002	149426	3432	8278	1866	160372	147942	2067	1326	563	158
401	163440	149697	3476	8378	1889	160800	148208	2076	1331	564	158
400	163870	149978	3508	8472	1912	161211	148484	2091	1336	568	158
399	164266	150217	3547	8582	1920	161596	148719	2099	1340	571	158
398	164729	150511	3593	8684	1941	162042	149009	2111	1344	576	158
397	165154	150779	3641	8772	1962	162452	149271	2121	1350	581	158
396	165580	151054	3686	8862	1978	162863	149543	2130	1353	587	158
